original,translate
Sepulchite's Ring of Stealth,西普西特潜行之戒
Sepulchite's Ring of Strength,西普西特力量之戒
Sepulchite's Ring of Survival,西普西特生存之戒
Sepulchite's Ring of Thievery,西普西特窃贼之戒
Sepulchite's Ring of Toughness,西普西特坚毅之戒
Sepulchite's Ring of Willpower,西普契特的力量指环
Serpent Ring of Agility,蛇形敏捷指环
Serpent Ring of Athletics,蛇形体能指环
Serpent Ring of Awareness,蛇形感知指环
Serpent Ring of Crafting,蛇形工艺指环
Serpent Ring of Defence,蛇形防御指环
Serpent Ring of Diplomacy,蛇形外交指环
Serpent Ring of Fortitude,蛇形坚毅指环
Serpent Ring of Healing,蛇形治疗指环
Serpent Ring of Celerity,蛇形迅捷指环
Serpent Ring of Lore,蛇形学识指环
Serpent Ring of Presence,蛇形威望指环
Serpent Ring of Stealth,蛇形潜行指环
Serpent Ring of Strength,蛇形力量指环
Serpent Ring of Survival,蛇形生存指环
Serpent Ring of Thievery,蛇形偷盗指环
Serpent Ring of Toughness,蛇形坚韧指环
Serpent Ring of Willpower,蛇形力量指环
Skull Ring of Agility,颅骨敏捷指环
Skull Ring of Athletics,颅骨体能指环
Skull Ring of Awareness,颅骨戒指·警觉
Skull Ring of Crafting,颅骨戒指·制作
Skull Ring of Defence,颅骨戒指·防御
Skull Ring of Diplomacy,颅骨戒指·外交
Skull Ring of Fortitude,颅骨戒指·坚韧
Skull Ring of Healing,颅骨戒指·治疗
Skull Ring of Celerity,颅骨戒指·敏捷
Skull Ring of Lore,颅骨戒指·知识
Skull Ring of Presence,颅骨戒指·威望
Skull Ring of Stealth,颅骨戒指·潜行
Skull Ring of Strength,颅骨戒指·力量
Skull Ring of Survival,颅骨戒指·生存
Skull Ring of Thievery,颅骨戒指·偷盗
Skull Ring of Toughness,颅骨戒指·坚韧
Skull Ring of Willpower,额石戒指·敏捷
Sunstone Ring of Agility,额石戒指·体能
Sunstone Ring of Athletics,额石戒指·警觉
Sunstone Ring of Awareness,额石戒指·制作
Sunstone Ring of Crafting,额石戒指·防御
Sunstone Ring of Defence,额石戒指·防御
Sunstone Ring of Diplomacy,日光石戒指·外交
Sunstone Ring of Fortitude,日光石戒指·坚毅
Sunstone Ring of Healing,日光石戒指·治疗
Sunstone Ring of Celerity,日光石戒指·敏捷
Sunstone Ring of Lore,日光石戒指·知识
Sunstone Ring of Presence,日光石戒指·威严
Sunstone Ring of Speed,日光石戒指·速度
Sunstone Ring of Stealth,日光石戒指·潜行
Sunstone Ring of Strength,日光石戒指·力量
Sunstone Ring of Survival,日光石戒指·生存
Sunstone Ring of Thievery,日光石戒指·偷盗
Sunstone Ring of Toughness,日光石戒指·坚韧
Sunstone Ring of Willpower,日光石戒指·意志
Tempest Ring of Athletics,暴风雨戒指·体育
Tempest Ring of Agility,暴风雨戒指·敏捷
Tempest Ring of Awareness,暴风雨戒指·意识
Tempest Ring of Crafting,暴风雨戒指·制作
Tempest Ring of Defence,暴风雨戒指·防御
Tempest Ring of Diplomacy,暴风雨戒指·外交
Tempest Ring of Fortitude,暴风雨戒指·坚毅
Tempest Ring of Healing,暴风雨治疗指环
Tempest Ring of the Hero,暴风雨英雄指环
Tempest Ring of Celerity,暴风雨敏捷指环
Tempest Ring of Intellect,暴风雨智力指环
Tempest Ring of Lore,暴风雨知识指环
Tempest Ring of Presence,暴风雨威严指环
Tempest Ring of Protection,暴风雨防护指环
Tempest Ring of Speed,暴风雨速度指环
Tempest Ring of Stealth,暴风雨潜行指环
Tempest Ring of Strength,暴风雨力量指环
Tempest Ring of Survival,暴风雨生存指环
Tempest Ring of Thievery,暴风雨偷盗指环
Tempest Ring of Toughness,暴风雨坚韧指环
Tempest Ring of Willpower,暴风雨意志力指环
Topaz Ring of Agility,黄水晶敏捷指环
Topaz Ring of Athletics,黄水晶体能指环
Topaz Ring of Awareness,黄水晶感知指环
Topaz Ring of Crafting,黄水晶工艺指环
Topaz Ring of Defence,黄水晶防御指环
Topaz Ring of Diplomacy,黄水晶外交指环
Topaz Ring of Fortitude,拯救顶宝石指环
Topaz Ring of Healing,治疗顶宝石指环
Topaz Ring of Celerity,敏捷顶宝石指环
Topaz Ring of Lore,知识顶宝石指环
Topaz Ring of Presence,威严顶宝石指环
Topaz Ring of Stealth,暗中行动顶宝石指环
Topaz Ring of Strength,力量顶宝石指环
Topaz Ring of Survival,生存顶宝石指环
Topaz Ring of Thievery,盗贼顶宝石指环
Topaz Ring of Toughness,坚韧顶宝石指环
Topaz Ring of Willpower,意志顶宝石指环
Wavestrider Ring of Athletics,水行者运动指环
Wavestrider Ring of Agility,水行者敏捷指环
Wavestrider Ring of Awareness,水行者意识指环
Wavestrider Ring of Crafting,水行者工艺指环
Wavestrider Ring of Defence,水行者防御指环
Wavestrider Ring of Diplomacy,水行者外交指环
Wavestrider Ring of Fortitude,水行者坚韧指环
Wavestrider Ring of Healing,水行者治疗指环
Wavestrider Ring of the Hero,水行者英雄指环
Wavestrider Ring of Celerity,涛行者戒指（敏捷）
Wavestrider Ring of Intellect,涛行者戒指（智力）
Wavestrider Ring of Lore,涛行者戒指（知识）
Wavestrider Ring of Presence,涛行者戒指（存在）
Wavestrider Ring of Protection,涛行者戒指（防护）
Wavestrider Ring of Speed,涛行者戒指（速度）
Wavestrider Ring of Stealth,涛行者戒指（潜行）
Wavestrider Ring of Strength,涛行者戒指（力量）
Wavestrider Ring of Survival,涛行者戒指（生存）
Wavestrider Ring of Thievery,涛行者戒指（偷盗）
Wavestrider Ring of Toughness,涛行者戒指（坚韧）
Wavestrider Ring of Willpower,涛行者戒指（意志）
#Consumeables,#消耗品
Consume,消耗
Consumable,消耗品
Brandy,威士忌
A bottle of strong Gorremian brandy,一瓶强劲的哥雷米威士忌
The tired old mercenary's best friend,退役佣兵的最佳伙伴
Potion of Cure Disease,治疗疾病药剂
Potion of Cure Poison,治疗毒药药剂
Firgol Cider,菲戈尔 cider
"Sparkling and sweet, this cider comes from the slow-growing orchards of Firgol",闪耀而甜美，这种 cider 来自菲戈尔缓慢生长的果园
Many claim it’s the best in all of the Northern Empire whilst a handful of bad apples will complain it’s too sweet,很多人声称这是北方帝国最好的 cider，而少数挑剔的顾客则抱怨它太甜了
Potion of Greater Restoration,大型回复药水
Greater Tonic of Vitality,大型活力药剂
Lesser Tonic of Vitality,小型活力药剂
Moderate Tonic of Vitality,中型活力药剂
Potion of Acid Immunity,大型酸液免疫药水
Potion of Electric Immunity,大型电击免疫药水
Potion of Fire Immunity,大型火焰免疫药水
Potion of Panic Immunity,大型恐慌免疫药水
Greater Attunement Tonic,大型共鸣药剂
Lesser Attunement Tonic,小型共鸣药剂
Moderate Attunement Tonic,中型共鸣药剂
Mead,蜜酒
A sweet alcoholic brew made from honey,一种由蜂蜜制成的甜酒
Widely enjoyed in all of the Northern Empire and the Outer Isles,在整个北方帝国和外岛广受欢迎
Potion of Agility,敏捷药水
Potion of Bless,祝福药水
Potion of Diamond Form,玻璃形态药水
Potion of Fortify Will,增强意志药剂
Potion of Frenzy,狂暴药剂
Potion of Heroism,英雄气概药剂
Potion of Regeneration,重生药剂
Potion of Speed,速度药剂
Potion of Stone Skin,硬皮药剂
Potion of Strength,力量药剂
Potion of Acid Resistance,酸性抗性药剂
Potion of Electric Resistance,电性抗性药剂
Potion of Fire Resistance,火焰抗性药剂
#Consumables - Tomes,#消耗品 - 法典
Tome,法典
TOME,法典
Read to learn the spell,阅读以学习法术
Requires ranks in one of the following schools,需要在以下学派之一中有等级
Tier,级别
#Foods,#食物
Apple,苹果
"Whilst its ability to keep the medicae away has yet to be proven, this common fruit can be found growing on trees in the summer months and is a staple in the pantry of peasants and noblemen alike",尽管其驱赶医者的效果尚未得到证实，这种常见的水果在夏季月份可以生长在树上，并且是平民和贵族 alike 的主食之一
Bacon,咸肉
There is truly no better way to start the day than with a fresh chunk of this salted pork,没有什么比用新鲜的咸猪肉开始一天更美妙的了
Dark Bread,黑面包
A piece of the traditional dark and heavy full-grain bread that is eaten throughout the region by farmers and laborers,这是该地区农民和劳工的传统深色且厚重的全麦面包，被广泛食用
Butter,黄油
"Due to its affordability, the rich and creamy, salted butter from Heartlander cows is a popular source of nourishment amongst the lower classes of the Empire",由于价格低廉，帝国下层阶级中流行着Heartlander奶牛生产的丰富而奶油般的咸黄油作为营养来源
There’s nothing butter,黄油
Carrot,胡萝卜
"Abundant and healthy, carrots are a staple in the soups and stews of the north",富含营养且产量丰富，胡萝卜是北部汤和炖菜中的主食
"Also, Hospitallers claim they improve your night-sight",此外，疗伤者声称它们能改善你的夜视能力
Cheddar,起司
"Made from cow's milk, this cheese is common and beloved throughout the Imperial heartlands",用牛奶制成，这种奶酪在帝国的心脏地带非常普遍且深受喜爱
Perfect for eating with bread and ham,与面包和火腿一起食用正合适
Sheep's Milk Cheese,山羊奶起司
As inexpensive and filling as it is smelly,既便宜又填饱肚子，但味道很臭
Sheep's milk cheese is a staple in the northern Hinterlands,山羊奶起司是北部 hinterlands 的主食
Crab,螃蟹
"Many of the Empire’s citizens will pay a pretty penny to get their hands on this soft, sweet meat",很多帝国的市民愿意花一大笔钱来获得这种柔软而甜美的肉
"Boiled in salted water and served on white bread with melted butter and squeezed lemon, crab-meat is truly a feast",用盐水煮熟后，搭配融化的黄油和挤好的柠檬汁，螃蟹肉确实是一顿盛宴
Cream,酪乳
Rich and creamy,富含奶油
Don’t let the cat have it,别让猫得到它
Dried Meat,干肉
"A favorite amongst adventures, this smoky, preserved meat can last longer than most people’s lives",这种烟熏保存的肉在冒险者中备受欢迎，其保存时间比大多数人的寿命还要长
Eel,鳝鱼
"Due to their abundance in both rivers and oceans, eels are one of the most popular seafoods in the Empire",由于河流和海洋中都十分丰富，鳝鱼是帝国最受欢迎的海鲜之一
"So popular, in fact, that some citizens have even been known to accept them as payment",实际上，它如此受欢迎，以至于有些市民甚至用它作为支付手段
Eggs,鸡蛋
Don't put them all in one basket,不要将所有鸡蛋放在一个篮子里
Perklin,贝克林
The humble perklin makes up for its meager size with its abundance,这种谦逊的贝克林以其丰富的数量弥补了其微小的体型
It's often perserved with salt and eaten year round,它通常用盐腌制，全年食用
The smell is an acquired taste,这种味道需要慢慢适应
Redman,红人
The tongue and eyes of the redman swells grotesquely once it's pulled from the depth in which it dwells,红人被拉出它栖息的深处后，舌头和眼睛会异常肿胀
"Despite its apperance, however, its flesh is considered a delicacy when served baked with lemons and vegetables",尽管如此，它的肉在烤制并搭配柠檬和蔬菜时被视为一种佳肴
Steel-Fin,钢鳍
Dead fish eyes stare up at you,死鱼的眼睛瞪着你
Steel-Fin is a staple on dinner tables throughout the Outer Isles,钢鳍是外岛餐桌上不可或缺的食材
It's commonly eaten in hearthy stews with vegetables,它通常与蔬菜一起炖煮成暖胃的汤
Flour,面粉
One of the greatest of the Gallian Miracles was the turning of deserts into the great rolling wheat fields that now constitute a large portion of the Heartland,加利安奇迹中最伟大的之一就是将沙漠变成了如今心腹之地中大片的滚滚麦田。
From these flows countless tons of grain and rich white flour,这里流淌着无数吨的谷物和丰富的白面粉。
Garlic,大蒜
"Pungent and full of flavor, this herb is most frequently used to enhance a variety of meals",带有辛辣风味的香草，常被用来提升各种菜肴的味道。
Cured Ham,风味火腿
"Tender, savory and long lasting",细腻、美味且持久。
Cured ham is found in the cellar of every well-to-do merchant and petty noble in the Empire,风味火腿是帝国中每一个富裕商人和小贵族的地窖里都能找到的美食。
Honey,蜂蜜
"Sticky and sweet, this ingredient is often used by cooks to sweeten or preserve food, and is a staple in every mead-makers arsenal",黏稠而甜美，厨师常用它来调味或保存食物，是酿造蜂蜜酒者不可或缺的原料。
It is even said to have curative properties when applied to infected wounds,据说它还能治疗感染伤口。
Leeks,韭葱
"Beyond just the taste, leeks go a long way towards adding some color to the drab cuisine of the poor",不仅味道好，还能为贫民单调的饮食增添一些色彩。
Lemons,柠檬
"In the north, lemons are almost exclusively found on ships where they serve to protect the sailors from the terrible scurvy that prolonged idleness and sexual abstinence is known to cause",在北方，柠檬几乎只在船上找到，它们能保护水手免受长时间无所事事和禁欲导致的可怕坏血病。
Baked Crab,烤蟹
The crab flesh is coated in spiced butter before baking in the oven to perfection,蟹肉先裹上香料黄油，然后在烤箱中烤至完美。
Baked Mushrooms,烤蘑菇
The nutty flavor of the wyrdloaf mixes wonderfully with the aromas of garlic to produce a meal fit for an emperor,畏尔德洛夫的坚果风味与大蒜的香气完美融合，堪比皇帝的盛宴。
Baked Onions,烤洋葱
"Onions are easily grow, keep for long and go a long ways towards covering up the taste of half-spoiled fish or meat",洋葱易于种植，保存时间长，还能掩盖半腐鱼类或肉类的异味。
Baked Oysters,烤扇贝
Tender oysters coated in bread-crumbs and baked until just right,软嫩的扇贝裹上面包屑，烤至恰到好处
You just hope the oysters were fresh,只希望扇贝新鲜
Baked Potato,烤土豆
It is said that potatoes alone can nourish a man's body indefinitely,据说单靠土豆就能让人身体永葆活力
The same cannot be said for his soul,但对灵魂来说却不是如此
Beef Stew,牛肉炖菜
"A thick, hearty stew of beef cooked in rich, Ombarian wine",用浓郁的奥巴里安葡萄酒烹制的浓稠、丰盛的牛肉炖菜
Cheese Plate,奶酪拼盘
"Ah, the understated elegance of a cheese and fruit plate",哦，奶酪和水果拼盘的低调优雅
Eggs and Bacon,鸡蛋和培根
The breakfast of titans,额外的早餐
Baked Fish,烤鱼
"A delicious-looking plate of baked, white fish on a bed of vegetables seasoned with freshly squeezed lemon",一盘看起来很美味的烤白鱼，铺在蔬菜上，用新鲜挤出的柠檬调味
Salted Fish,盐渍鱼
The fisherman's best friend,鱼夫的最好朋友
Preferably eaten with a mug of ale on the side,最好配着一杯艾尔啤酒一起吃
Fish Stew,鱼炖菜
A steaming bowl of fish and vegetable stew,一碗热腾腾的鱼和蔬菜炖菜
This type of dish is eaten more or less daily by the coast-dwellers of the north,这种菜肴在北岸的居民中几乎每天都会食用
It could do with some salt,还需要加点盐
Grilled Leeks,烤蒜苗
Mashed Potatoes,炸土豆泥
Just the way mothers all over the Empire would make it!,就像帝国各地的母亲们做的那样！
Meat Skewers,烤肉串
Richly spiced meat roasted on skewers,香料浓郁的烤肉串
A popular dish that the Empire imported from its overseas colonies,这道菜是帝国从海外殖民地引进的流行菜肴
Farmer's Omelette,农家煎蛋
"A nice farmer's omelette brings to mind the simple comforts of a quaint, rural life",一份美味的农家煎蛋让人想起简朴而宁静的乡村生活
Mushroom Omelette,蘑菇煎蛋
The mushroom omelette tastes of the forest,蘑菇煎蛋的味道就像森林
Apple Pie,苹果派
Sweet and comforting,甜蜜而温馨
Pumpkin Pie,南瓜派
Nothing says autumn like a nice old slice of pumpkin pie,没有什么比一份老南瓜派更能代表秋天了
Roasted Eel,烤鳗鱼
Crispy skin and tender meat,酥脆的皮和嫩滑的肉质
The roasted eel is seasoned with garlic and served with potato chips,烤鳗鱼用大蒜调味，搭配薯条上桌
Cheese Sandwich,奶酪三明治
"For a few short moments, whilst eating a melted cheese sandwich, all is well in the world",吃着融化了的奶酪三明治的那几秒钟，世界都是美好的
Mushroom Soup,蘑菇汤
Fried Steak,炸牛排
A meal to put hair on your chest!,让你胸毛浓密的一顿美餐！
Vegetable Soup,蔬菜汤
"A farmer’s feast, often eaten in the fall when root vegetables are abundant",农民的盛宴，通常在秋季食用，此时根菜类蔬菜丰富
Morel,梅洛
Morels are mushrooms that make for excellent eating,梅洛是美味的食用蘑菇
Penny Buns,碱蓬饼
Penny Buns are mushrooms that make for excellent eating,碱蓬饼是美味的食用蘑菇
Wyrdloaf,奇异面包
Wyrdloaf are mushrooms that make for excellent eating,奇异面包是美味的食用蘑菇
Nuts,核桃
"Often added to meat dishes to boost nutrition, these tasty treats can be found growing on various trees and bushes throughout the Empire",通常加入肉菜以提升营养，这些美味的坚果可以在帝国各地的树木和灌木上找到
Onions,洋葱
Oysters,海鲜
This earthy flavored molluscs has been known to increase a person’s desire and sexual stamina,这种带有泥土风味的软体动物据说能增加人的欲望和性耐力
No wonder then that the courtiers and lay nobility of the Heartlands gorge themselves on this delicacy,因此，心腹之地的宫廷贵族们沉迷于这种美食也就不足为奇了
Just remember to smell them before you eat them,只记得在吃之前闻一闻
Pear,梨
"A freshly picked, juicy pear",一颗新鲜采摘的多汁梨
"Eat it fresh, bake it in a pie or make brandy from it!",新鲜食用，烤成馅饼，或者酿成白兰地！
Potatoes,土豆
Pumpkin,南瓜
A bit watery and tasteless but might work well in a soup or a pie,有点水，味道寡淡，但可能适合做汤或馅饼
Ration,补给
"A trail ration of dried meats, fruits and grains",一种干肉、水果和谷物制成的行军补给
As sure to filling as it is boring,虽然单调，但却是饱腹的好选择
Salt,盐
An empire runs on salt,盐是帝国的命脉
"As the Gallian Empire's preservative and seasoning of choice, it is no wonder that the Salt Merchant's Guild is both rich and very powerful",作为加拉尼亚帝国首选的防腐剂和调味品，难怪盐商公会既富有又非常强大
Snails,田螺
"Despite their slimy appearance, these small creatures are a delicacy amongst nobles and commoners alike and are often eaten with garlic butter or as part of hearty casseroles",尽管外表黏滑，这些小生物却是贵族和平民都喜爱的佳肴，常配蒜黄酱或作为丰盛炖菜的一部分食用
Spices,调味品
"Imported from far away lands at great cost and risk, spices are worth their weight in gold",这些昂贵且风险巨大的进口香料价值连城
"Aromatic and delicious, they are a precious commodity used by the upper classes to enhance their meals",香气扑鼻，味道美妙，是上流社会用来提升菜肴品质的珍贵商品
Squid,墨鱼
"If they’re not filling the bellies of the upper-class, these slippery sea-creatures are being harvested for their ebony coloured ink",如果不是填饱上流社会的肚子，这些滑溜的海生生物就会被采集用于提取深黑色的墨水
Sugar,糖
"Due to its rarity, this sweet ingredient is usually only found in the kitchens of noble and middle-class households where it is typically used to make glorious pastries and confections",由于稀有，这种甜味成分通常只能在贵族和中产阶级的厨房里找到，通常用来制作华丽的糕点和糖果
Beef,牛肉
"A favorite on many a noble’s table, this thick cut of meat is as rich in iron as it is in flavor",这块厚切肉是许多贵族餐桌上的一道佳肴，其铁质含量与美味程度同样丰富
Warberries,战果浆果
Rich harvests from the warberry bush is said to portend war,战果浆果丛的丰收据说预示着战争的到来
These tart berries are often used to make jams or other preserves in case food should become scarce,这些酸甜可口的浆果常被用来制作果酱或其他保存食品，以防食物短缺
Ombarian Wine,奥姆巴里安葡萄酒
Fine wine imported from the vinyards of the Ombaria,从奥姆巴里安酒庄进口的优质葡萄酒
Rumors abound of grape harvests failing due to drought in the Heartlands and wine is currently hard to come by,由于心土地区干旱导致葡萄收成失败，目前葡萄酒供应紧张
#Adventuring Items,#冒险物品
Crowbar,开山撬棍
An iron crowbar,一根铁制的开山撬棍
Perfect for breaking and entering,专用于破门而入
Lantern,手电筒
A small lantern,一个小手电筒
Press 'T' to equip it whilst exploring,探索时按 'T' 键装备它
Thieves' Tools,盗贼工具
Tools used for lockpicking,用于开锁的工具
You lose a few each time you pick a lock so take care to gather a supply,每次开锁都会损耗一些，所以要小心收集足够的工具
Pickaxe,锄头
A pickeaxe used for mining,用于采矿的锄头
In the right hands it could be used as a weapon,在正确的人手中，它也可以作为武器使用
Rope,绳索
A 20-foot coil of hemp rope,20尺长的亚麻绳
Indispensable for spelunkers and mountaineers,探险者和登山者不可或缺的工具
Sewer Map,下水道图
A hand-drawn map depicting the sewers underneath Horryn,一张手工绘制的下水道图，描绘了霍里恩城下的下水道
Shovel,锄头
Used for digging in the ground!,用于挖掘地面！
#Adventuring - Books,#冒险 - 书籍
Astronomer's Journal,天文学家日志
"A small, well-used journal",一本小巧且使用痕迹明显的日志
The journal contains a large amount of tabulated data that appears to be astrological in nature interspersed with notes,日志中包含大量表格数据，看起来像是占星学性质的内容，夹杂着一些笔记
The final entries appear to have been made only days before your arrival,最后几条记录似乎是在你到达之前几天才写的
Observed strange dancing lights in the sky,天空中出现了奇怪的舞动光芒
Not unlike those sailors to the far south describe near polar regions yet somehow different,类似于南方海员在极地区域描述的那种，但又有所不同
Colors indescribable - Mesmerizing,颜色无法形容 - 迷人
For a fleeting moment I even thought I heard a sound,稍纵即逝的一刻，我还以为听到了声音
Somewhere between a deep wail and singing,介于深吟和歌唱之间
Could not perform observations tonight,今晚无法进行观测
Charts or instruments are off and I cannot make sense of the sky,图表或仪器出现了偏差，我无法理解天空中的情况
There are bodies there,那里有尸体
Bodies that are alien to me,身份与我相异的生物
It must be some form of comet storm or some other extraordinary astronomical event that has not been predicted in the Imperial Charts,必定是某种彗星风暴，或是其他未曾被帝国星图预测的非凡天文事件
They are wrong!,他们错了！
I have done the calculations over and over and I come to the same conclusion,我已经反复计算过，得出的结论始终如一
The stars are wrong - in so many ways!,星辰错了——错得太多！
"As I observed an alien cluster in the southeastern quadrant, it dawned on me with absolute certainty",当我在东南象限观察到一个陌生的星团时，我确信无疑
I am not watching them - they are watching me,我不是在观察它们——它们在观察我
I dread to look again yet I feel compelled to do so,我害怕再次凝视，但又感到不得不这么做
They beckon me,它们召唤着我
I am certain that if I look again into that dreadful cluster in the southeastern quadrant I shall be undone,我确信，如果再次凝视东南象限的那个可怕星团，我将无法自持
Yet there are answers there,但答案就在那里
Deeper and more profound than any mortal mind can comprehend,深远得超越任何凡人所能理解
I believe I shall look again,我相信我将再次凝视
I must,我必须
Origins of the Legionnaire’s Rest,《军团休息》的起源
"A small, generic book of lore",一本小型、通用的法术典籍
Fawlon’s Treatise on the Origins of Imperial Fauna Excerpt,法尔隆关于帝国动植物起源的论文摘录
Legionnaire’s Rest,《军团休息》
Colours indescribable - Mesmerising,无法形容的颜色——令人着迷
"It was a time of great sorrow, but from this calamity, new life blossomed",那是一个巨大的悲痛时期，但在这场灾难中，新的生命得以绽放
For from the soil beneath which the lost legions lay an abundance of crimson red flowers sprouted forth,从那些失落军团埋骨之地的土壤中，长出了大量的深红色花朵
"Flowers that, it is said, will only grow upon the graves of those fallen in battle",据说，这些花朵只会在阵亡战士的坟墓上生长
Folk Poetry of the North,北方民谣
Volume,第一卷
THE RIVEMAN'S RHYME,河人之歌
"To the river I will go,",我将前往河边，
"To soothe a heart that’s full of woe,",安慰那颗充满忧伤的心，
For in the water’s cool embrace,因为在水的凉爽怀抱中
My true self I will face,我将面对真实的自我
FOLK LITANY OF THE DEAD,死者的民谣哀歌
"Bathe the flesh,",洗净肉体，
Mend the bone,修复骨骼
"Then lay the body,",然后安放身躯，
Beneath the stone,于石下长眠
AN ODE TO THE POTATO,马铃薯颂歌
"Oh, how blessed we’ll be,",哦，我们将多么幸运，
"To taste your earthy bliss,",品尝你泥土的甜美，
When we have sown our fields,当我们播种田野
And planted your seeds,并种下你的种子
And awaited rain’s gentle kiss,等待温柔的雨吻
Postscript,后记
"For context and comaprison, I have taken the opportunity of adding the transcript of a fruit farmer's tirade to the local magistrate on the issue of the potatoe-related agricultural reforms",为了提供背景和对比，我有机会添加了一位水果农民对当地法官关于马铃薯相关农业改革的怒斥的转录
If I receive one more decree commanding me to re-sow my fruit orchards into bloody potato fields!,如果再收到一份命令我重新播种果园成该死的马铃薯田的命令！
I’m going to send him a bag full of my ripest manure!,我要把一袋我最成熟的粪肥送给他！
"Bloody Magi, making a mess of the world and leaving it to us lot to clean it up!",该死的术士，把世界弄得一团糟，然后让我们来清理！
Not on my farm!,不在我的农场！
They can shove their bloody seed-potatoes up their sacred arses for all I bleeding care!,他们可以把该死的马铃薯种子塞到他们神圣的屁眼里！我根本不在乎！
Origins of the Sorroweater,悲伤吞噬者的起源
Sorrow-Eater,悲伤吞噬者
"In the year of 641 GA, after the lay-Countess of Vaul lost her firstborn to dry lung, it is rumored that she locked herself up in her chambers to wallow in her grief",在641年GA，瓦尔领地的世俗女伯爵失去她的长子后得了干肺病，据说她把自己关在房间里沉浸在悲痛中
"One of the lay-Countess's most important offices was as head of the High Forum, and thus, fearing her absence would cause much unrest amongst nobility, the countess’ majordomo sought help from a wise old crone",世俗女伯爵最重要的职务之一是高论坛的负责人，因此，担心她的缺席会引起贵族们的不安，女伯爵的管家向一位智老巫婆求助
"After hearing her plea, the crone handed the countess’ majordomo a single, violet coloured flower",听完她的恳求后，巫婆递给女伯爵的管家一朵紫色的花
"Place this beside her bed, and to it all her sorrow shall be fed",把这朵花放在她的床边，所有的悲伤都会被它吞噬
"Desperate, the countess’ majordomo did as the crone advised, and less than a tide later, the lay-Countess of Vaul left her chambers for the first time since the loss of her child",痛苦不堪的女伯爵的管家照着巫婆的建议做了，不到一个潮汐，瓦尔领地的世俗女伯爵自失去孩子后第一次离开了房间
"The tale was quickly passed between courtiers, and ever since, the fauna - aptly named ‘Sorroweater’ - has been given as a gift in times of great sorrow",这个故事很快在宫廷中流传开来，从那以后，这种被称为“悲伤吞噬者”的生物在遭遇巨大悲痛时就被作为礼物赠送
The High Forum of 641 was indeed a great success,641年的高论坛确实取得了巨大成功
"As so often when the lay-nobility conveens, much was discussed, little was decided and nothing was accomplished save gluttony, fornication and a stabbing or two",就像世俗贵族们聚会时经常发生的那样，讨论了很多，但决定很少，唯一的结果就是暴饮暴食、放纵和几起刺杀事件
Origins of the Starspawn,星生者的起源
Starspawn,星生者
"Despite its beautiful appearance, the legend on the origin of the Starflower is a grim one",尽管它外观美丽，但星花的起源传说却相当凄惨
"Many centuries ago, before Gallina came from the south, a fatally wounded warrior lay dying",在加利娜从南方到来之前，许多世纪前，一名重伤的战士奄奄一息
He pleaded to the Gods for help just as a shooting star passed through the sky,他恳求诸神给予帮助，就在这时，一颗流星划过天空
"Hearing his cries and taking pity on the young man, the star descended to earth to answer his prayers",听到他的呼喊并怜悯这位年轻人，流星降落到地面，回应了他的祷告
For such was her nature,这就是她的本性
"At first the soldier was grateful, but he became smitten by her beauty and soon grew lustful",开始时，这名士兵心存感激，但很快他被她的美貌所吸引，变得淫欲横生
Then possessive and finally cruel towards the stellar being,接着变得占有欲强，最后对这位天体生物变得残忍
For such was his nature,这就是他的本性
"She refused him, claiming that stars belong to all who love them and the soldier went mad with rage",她拒绝了他，声称星星属于所有爱他们的人，士兵因此怒火中烧
"He strangled her then and there for if he could not have her, no one would",他当场掐死了她，因为他不能拥有她，就不会有其他人能拥有她
"As the star’s last breath left her, her Sisters began to weep",当星星的最后一口气离开她时，她的姐妹们开始哭泣
"In a shower of burning light, their tears fell to the earth where the star lay, immolating the man who had killed her",在一场燃烧的光芒中，她们的眼泪落在了地上，将那名杀死她的士兵焚毁
"When dawn finally broke and the stars withdrew, all that was left in their wake was a field of star-shaped flowers",当黎明终于来临，星辰退去，留下的只是一片由星星形状的花朵组成的田野
Origins of the Sunmouth,太阳之口的起源
Sunmouth,太阳之口
This bright fauna was first discovered in the province of Gorremia following one of the worst winters in the region’s history,这种明亮的生物是在戈雷米亚省首次被发现的，那里的历史记载着有史以来最严酷的冬天之一
"It is reported that after months of unrelenting snow and ice, the land in this region had become so barren the locals worried new life would never grow from it again",据报道，在连续几个月的暴风雪和严寒之后，这片土地变得如此荒芜，当地人担心新的生命将永远不会在这片土地上生长
"Fearing the worst, a handful of villagers decided to seek out new homes, and set out with heavy hearts to begin the long journey to the temperate Heartlands",担心最坏的情况，一群村民决定寻找新的家园，怀着沉重的心情踏上了前往温暖心腹地的漫长旅程
"It was at this moment, as the villagers braced themselves to leave their lives behind, that a single ray of sunlight broke through the clouds to light the barren area before them",就在这一刻，当村民们准备告别他们的生活时，一道阳光穿透云层，照亮了这片荒芜的土地
"Breaths held, the villagers watched as that sliver of sunlight thawed the icy ground, unveiling the beginnings of a single, yellow bud",人们屏住呼吸，看着那道阳光融化了冰冻的地面，揭示了第一个黄色花蕾的开始
"A bud that, to this day, has only ever been found to grow in areas of direct sunlight",一个花蕾，直到今天，它只在直接阳光照射的地方被发现过
Monk's Journal,武僧的日志
We’re working long hours into the night to deal with the recent influx of corpses,我们整夜工作以应对最近涌入的尸体
What compels these people to act so cruelly?,什么驱使这些人如此残忍地行事？
